Year,TeamLeft,PointsLeft,TeamRight,PointsRight
2017,South Carolina,70,Baylor,50
2017,Gonzaga,61,West Virginia,58
2017,Xavier,73,Arizona,71
2017,North Carolina,92,Butler,80
2017,Kentucky,86,UCLA,75
2017,Kansas,98,Purdue,66
2017,Oregon,69,Michigan,68
2017,South Carolina,77,Florida,70
2017,Gonzaga,83,Xavier,59
2017,North Carolina,75,Kentucky,73
2017,Oregon,74,Kansas,60
2017,Gonzaga,77,South Carolina,73
2017,North Carolina,77,Oregon,76
2017,North Carolina,71,Gonzaga,65
2016,North Carolina,83,Florida Gulf Coast,67
2016,Xavier,71,Weber St.,53
2016,Stephen F. Austin,70,West Virginia,56
2016,Kentucky,85,Stony Brook,57
2016,Indiana,99,Chattanooga,74
2016,Notre Dame,70,Michigan,63
2016,Wisconsin,47,Pittsburgh,43
2016,Providence,70,USC,69
2016,Oregon,91,Holy Cross,52
2016,Oklahoma,82,Cal St. Bakersfield,68
2016,Texas A&M,92,Green Bay,65
2016,Duke,93,UNC Wilmington,85
2016,Yale,79,Baylor,75
2016,Northern Iowa,75,Texas,72
2016,VCU,75,Oregon St.,67
2016,Saint Joseph's,78,Cincinnati,76
2016,Kansas,105,Austin Peay,79
2016,Villanova,86,UNC Asheville,56
2016,Miami FL,79,Buffalo,72
2016,Hawaii,77,California,66
2016,Maryland,79,South Dakota St.,74
2016,Wichita St.,65,Arizona,55
2016,Iowa,72,Temple,70
2016,Connecticut,74,Colorado,67
2016,Virginia,81,Hampton,45
2016,Middle Tennessee,90,Michigan St.,81
2016,Utah,80,Fresno St.,69
2016,Iowa St.,94,Iona,81
2016,Little Rock,85,Purdue,83
2016,Gonzaga,68,Seton Hall,52
2016,Syracuse,70,Dayton,51
2016,Butler,71,Texas Tech,61
2016,North Carolina,85,Providence,66
2016,Wisconsin,66,Xavier,63
2016,Indiana,73,Kentucky,67
2016,Notre Dame,76,Stephen F. Austin,75
2016,Oregon,69,Saint Joseph's,64
2016,Oklahoma,85,VCU,81
2016,Texas A&M,92,Northern Iowa,88
2016,Duke,71,Yale,64
2016,North Carolina,101,Indiana,86
2016,Notre Dame,61,Wisconsin,56
2016,Oregon,82,Duke,68
2016,Oklahoma,77,Texas A&M,63
2016,Kansas,73,Connecticut,61
2016,Villanova,87,Iowa,68
2016,Miami FL,65,Wichita St.,57
2016,Maryland,73,Hawaii,60
2016,Virginia,77,Butler,69
2016,Syracuse,63,Gonzaga,60
2016,Villanova,64,Kansas,59
2016,Syracuse,68,Virginia,62
2016,North Carolina,83,Syracuse,66
2016,Villanova,95,Oklahoma,51
2016,Villanova,77,North Carolina,74
2015,Kentucky,79,Hampton,56
2015,Kansas,75,New Mexico St.,56
2015,Notre Dame,69,Northeastern,65
2015,Maryland,65,Valparaiso,62
2015,West Virginia,68,Buffalo,62
2015,Butler,56,Texas,48
2015,Wichita St.,81,Indiana,76
2015,Cincinnati,66,Purdue,65
2015,Wisconsin,86,Coastal Carolina,72
2015,Arizona,93,Texas Southern,72
2015,Georgia St.,57,Baylor,56
2015,North Carolina,67,Harvard,65
2015,Arkansas,56,Wofford,53
2015,Xavier,76,Mississippi,57
2015,Ohio St.,75,VCU,72
2015,Oregon,79,Oklahoma St.,73
2015,Villanova,93,Lafayette,52
2015,Virginia,79,Belmont,67
2015,Oklahoma,69,Albany,60
2015,Louisville,57,UC Irvine,55
2015,Northern Iowa,71,Wyoming,54
2015,Dayton,66,Providence,53
2015,Michigan St.,70,Georgia,63
2015,North Carolina St.,66,LSU,65
2015,Duke,85,Robert Morris,56
2015,Gonzaga,86,North Dakota St.,76
2015,UAB,60,Iowa St.,59
2015,Georgetown,84,Eastern Washington,74
2015,Utah,57,Stephen F. Austin,50
2015,UCLA,60,SMU,59
2015,Iowa,83,Davidson,52
2015,San Diego St.,76,St. John's,64
2015,Kentucky,64,Cincinnati,51
2015,Wichita St.,78,Kansas,65
2015,Notre Dame,67,Butler,64
2015,West Virginia,69,Maryland,59
2015,Wisconsin,72,Oregon,65
2015,Arizona,73,Ohio St.,58
2015,Xavier,75,Georgia St.,67
2015,North Carolina,87,Arkansas,78
2015,North Carolina St.,71,Villanova,68
2015,Michigan St.,60,Virginia,54
2015,Oklahoma,72,Dayton,66
2015,Louisville,66,Northern Iowa,53
2015,Duke,68,San Diego St.,49
2015,Gonzaga,87,Iowa,68
2015,UCLA,92,UAB,75
2015,Utah,75,Georgetown,64
2015,Kentucky,68,West Virginia,39
2015,Notre Dame,81,Wichita St.,70
2015,Wisconsin,79,North Carolina,72
2015,Arizona,68,Xavier,60
2015,Michigan St.,76,Louisville,70
2015,Duke,66,Gonzaga,52
2015,Duke,81,Michigan St.,61
2015,Wisconsin,71,Kentucky,64
2015,Duke,68,Wisconsin,63
2014,Wichita St.,64,Cal Poly,37
2014,Michigan,57,Wofford,40
2014,Mercer,78,Duke,71
2014,Louisville,71,Manhattan,64
2014,Saint Louis,83,North Carolina St.,80
2014,Tennessee,86,Massachusetts,67
2014,Texas,87,Arizona St.,85
2014,Kentucky,56,Kansas St.,49
2014,Arizona,68,Weber St.,59
2014,Wisconsin,75,American,35
2014,Creighton,76,Louisiana Lafayette,66
2014,San Diego St.,73,New Mexico St.,69
2014,North Dakota St.,80,Oklahoma,75
2014,Baylor,74,Nebraska,60
2014,Oregon,87,BYU,68
2014,Gonzaga,85,Oklahoma St.,77
2014,Virginia,70,Coastal Carolina,59
2014,Villanova,73,Milwaukee,53
2014,Iowa St.,93,North Carolina Central,75
2014,Michigan St.,93,Delaware,78
2014,Harvard,61,Cincinnati,57
2014,North Carolina,79,Providence,77
2014,Connecticut,89,Saint Joseph's,81
2014,Memphis,71,George Washington,66
2014,Florida,67,Albany,55
2014,Kansas,80,Eastern Kentucky,69
2014,Syracuse,77,Western Michigan,53
2014,UCLA,76,Tulsa,59
2014,Stephen F. Austin,77,VCU,75
2014,Dayton,60,Ohio St.,59
2014,Stanford,58,New Mexico,53
2014,Pittsburgh,77,Colorado,48
2014,Kentucky,78,Wichita St.,76
2014,Michigan,79,Texas,65
2014,Tennessee,83,Mercer,63
2014,Louisville,66,Saint Louis,51
2014,Arizona,84,Gonzaga,61
2014,Wisconsin,85,Oregon,77
2014,Baylor,85,Creighton,55
